You dislike the fact that your health is slowly deteriorating after each cigarette.,1
You were in a lot of pain.,1
You enjoy the calming effect nicotine gives you.,1
You use amphetamines too often.,1
You dislike how cigarette smoke smells.,1
"You're here to talk about your gambling, is that right?",1
You realize that by making this change you will have a big impact on your life and you are looking forward to how it will look.,1
You are concerned with the costs of smoking.,1
"You believe that by making changes to your smoking habit, you can improve your health.",1
You realize that quitting smoking is important for your health and would like to make this happen without relying on cigarettes.,1
You enjoy smoking because it helps you cope with stressful situations. ,1
"You got mad at the way you were being treated, and so decided not to interact further.",1
It would be a good idea for you to go through detoxification.,1
You realize that cigarettes can potentially cause financial stress and you wish you could spend less on tobacco.,1
You dislike the health risks of smoking.,1
Quitting smoking will require you to find a way to distract yourself from the craving for cigarettes.,1
It reminds you of your heart attack.,1
Setting long-term plans for your smoking habit would help you quit.,1
"You realize that if you stop smoking, you can reduce the strain on your body. ",1
Social interaction makes you afraid.,1
You value productivity and would like to increase it by smoking less.,1
It is time to create a plan to stop drinking.,1
You want to establish a daily routine so you can smoke at your ease.,1
"If you set long-term plans for your smoking habit, you will be more likely to succeed.",1
You're don't want to break up with your partner because you're you won't find someone else.,1
You're finding that you drink a lot when you're alone.,1
You don't like thinking about smoking because you're afraid to die.,1
You dislike that others know that you smoke.,1
You want to stop smoking cigars altogether.,1
You seem low-energy.,1
You might be noticing that the financial impact of smoking could be a concern.,0
It seems like you might be thinking that making some changes could have a positive effect on your health.,0
"You might have come to a place where you see the importance of quitting smoking for your health, and are thinking about how to do this in a way that feels right to you.",0
It seems like smoking might be something that helps you manage stress in certain moments.,0
"It sounds like something about the way you were treated left you feeling upset, and you felt it was best not to continue the interaction.",0
You might be considering that detoxification could be a helpful step for you.,0
"You may be noticing that cigarettes could be creating some financial strain, and it sounds like you might be wishing for ways to cut back.",0
It sounds like the health risks associated with smoking are something you might find troubling.,0
You might be thinking that finding ways to manage cravings could be a part of the process if you decide to quit smoking.,0
It seems like this situation might bring up memories of your heart attack.,0
You may be thinking that making a long-term plan could offer support in your journey to quit smoking.,0
You might be noticing that quitting smoking could ease some of the stress on your body.,0
It sounds like social situations might be something that leaves you feeling anxious or uncertain.,0
You might be thinking that smoking less could help you feel more productive in your day-to-day life.,0
There could be a sense that now might be a good time to start considering a strategy for cutting back on alcohol.,0
"It sounds like creating a daily routine that works for you might be something you're thinking about, especially around smoking.",0
It seems like creating a long-term plan could offer you some direction and increase your chances of success.,0
There could be a fear of being alone or not finding another partner if you were to break up.,0
You might be noticing that drinking tends to happen more often when you're by yourself.,0
"Potentially, there is a connection between your thoughts about smoking and a deeper concern about your health and life.",0
You may find that having others know about your smoking is something that doesnâ€™t sit well with you.,0
There could be a sense that giving up cigars is something you're considering moving forward.,0
It sounds like you might be feeling a bit more tired or less energetic lately.,0